node,longitude,latitude
43820,12.9718,43.887501
39332,12.975818,43.912182
42539,12.999784,43.927303
42098,13.019262,43.948895
43208,13.038668,43.975216
39424,13.064779,44.009842
42133,13.119857,44.031345
40103,13.129189,44.076992
43815,13.201507,44.095188
42169,13.243646,44.141232
41087,13.260324,44.182175
39953,13.307136,44.211624
39972,13.358515,44.255768
41151,13.397038,44.307972
40394,13.414152,44.358467
41614,13.467904,44.380161
40089,13.481303,44.429363
39248,13.577614,44.453663
40606,13.562701,44.530506
41677,13.637099,44.56826
40099,13.699722,44.607609
44124,13.676913,44.649616
44053,13.740532,44.654678
40247,13.765464,44.703205
42261,13.786087,44.74329
43928,13.794891,44.774082
43278,13.825436,44.793602
40789,13.8528,44.816601
